Freq [MHz],"dB(S(1,1)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
890.8888889,-12.83141097,-0.872952819,-0.801620367,-0.875006233,-0.834285081,-0.791347129,-0.778807025
891.1111111,-12.86363288,-0.888834889,-0.816148213,-0.890329973,-0.851900742,-0.804956269,-0.792747504
891.3333333,-12.89769545,-0.906674067,-0.832904482,-0.907551848,-0.872831539,-0.821311881,-0.809030732
891.5555556,-12.93185589,-0.926652095,-0.851986473,-0.926824608,-0.897489728,-0.840865826,-0.8280733
891.7777778,-12.96462502,-0.948989616,-0.873492653,-0.948337521,-0.926334821,-0.864116658,-0.850378808
892,-12.99481261,-0.973953878,-0.897530034,-0.972328172,-0.959878706,-0.891605307,-0.876537396
892.2222222,-13.02151469,-1.001866022,-0.924228755,-0.999094261,-0.998691114,-0.923909028,-0.907215428
892.4444444,-13.04406582,-1.03310792,-0.953766882,-1.029004193,-1.043405332,-0.961634616,-0.943134562
892.6666667,-13.06197829,-1.068128955,-0.986407335,-1.062505736,-1.09472393,-1.005412523,-0.985042963
892.8888889,-13.0748856,-1.107453526,-1.022545463,-1.100132918,-1.153424125,-1.055893914,-1.03368555
893.1111111,-13.08250284,-1.151690391,-1.062759868,-1.142512337,-1.220362145,-1.113752749,-1.089782823
893.3333333,-13.08461394,-1.201545063,-1.10785263,-1.190370872,-1.296475428,-1.17969455,-1.154027016
893.5555556,-13.08109462,-1.257836557,-1.158862927,-1.2445471,-1.382780565,-1.254472619,-1.22709963
893.7777778,-13.07197881,-1.321519755,-1.217045366,-1.306008595,-1.48036275,-1.338911211,-1.30970764
894,-13.05757112,-1.393714711,-1.283820799,-1.37587697,-1.590347166,-1.433933879,-1.402630054
894.2222222,-13.0385944,-1.475744418,-1.360724096,-1.455462163,-1.713827025,-1.540593928,-1.506764167
894.4444444,-13.01633516,-1.569182845,-1.449378281,-1.546307468,-1.8516654,-1.66010289,-1.623161885
894.6666667,-12.99271592,-1.675915554,-1.55151407,-1.650246969,-2.003807689,-1.793851793,-1.753049037
894.8888889,-12.97020422,-1.798215735,-1.669036467,-1.769477552,-2.165531922,-1.94341859,-1.897822476
895.1111111,-12.95149895,-1.93883913,-1.804127568,-1.906648156,-2.258893707,-2.110552738,-2.059019595
895.3333333,-12.93903583,-2.101141728,-1.959372172,-2.064969365,-2.667801033,-2.297124188,-2.238252348
895.5555556,-12.93447951,-2.289224018,-2.137897303,-2.248346255,-2.875061221,-2.505018474,-2.437093319
895.7777778,-12.9384181,-2.508104256,-2.343522299,-2.461536019,-3.127391421,-2.735951982,-2.65689573
896,-12.95038332,-2.763918995,-2.580918054,-2.710327783,-3.406254813,-2.991172778,-2.898524102
896.2222222,-12.96914759,-3.064138967,-2.855769109,-3.001732343,-3.707110826,-3.271005183,-3.161970208
896.4444444,-12.99313241,-3.417765808,-3.174916527,-3.344148606,-4.025918135,-3.574197546,-3.445834827
896.6666667,-13.02076579,-3.835426919,-3.546423977,-3.747429706,-4.357126453,-3.897056429,-3.74667347
896.8888889,-13.05070742,-4.329184814,-3.979434333,-4.222681895,-4.692854518,-4.232420867,-4.058223473
897.1111111,-13.081941,-4.911668652,-4.483528413,-4.781447515,-5.022442618,-4.568677711,-4.370497029
897.3333333,-13.11377437,-5.593713256,-5.066982189,-5.433564086,-5.332421364,-4.88925443,-4.668688062
897.5555556,-13.14579235,-6.378888827,-5.732720915,-6.182328099,-5.607126993,-5.17327407,-4.932899338
897.7777778,-13.17779503,-7.252071445,-6.469837608,-7.014603098,-5.830184107,-5.398070905,-5.142138164
898,-13.20973942,-8.158729649,-7.238025529,-7.883143313,-5.986849989,-5.54367067,-5.280821847
898.2222222,-13.24169169,-8.978208279,-7.94624728,-8.683435392,-6.06677931,-5.59805549,-5.340617113
898.4444444,-13.27379123,-9.521820856,-8.445442049,-9.248492912,-6.066337231,-5.560866217,-5.320780254
898.6666667,-13.30622491,-9.616702012,-8.582808344,-9.412149723,-5.989538544,-5.443504554,-5.228940361
898.8888889,-13.33920921,-9.248319136,-8.321419863,-9.134264213,-5.847215363,-5.265612695,-5.079726455
899.1111111,-13.37297791,-8.577496815,-7.788185925,-8.541551998,-5.654820713,-5.049934507,-4.891434829
899.3333333,-13.40777325,-7.804594881,-7.164759502,-7.821433143,-5.429789434,-4.817896219,-4.682528464
899.5555556,-13.44383935,-7.065426194,-6.56461357,-7.113265024,-5.18931599,-4.587098854,-4.469221929
899.7777778,-13.48141651,-6.418875112,-6.017159493,-6.481723556,-4.948973067,-4.370641615,-4.264435833
900,-13.52073592,-5.874272933,-5.52007738,-5.941106101,-4.722157751,-4.177600919,-4.077798775
900.2222222,-13.56201427,-5.424153245,-5.077296773,-5.489259078,-4.520115663,-4.013997246,-3.916221609
900.4444444,-13.60544842,-5.063268316,-4.700569257,-5.124691883,-4.352245901,-3.883820443,-3.784665784
900.6666667,-13.6512108,-4.789259819,-4.399982116,-4.846714317,-4.226433308,-3.789906661,-3.686878095
900.8888889,-13.69944711,-4.598969273,-4.180070746,-4.653087812,-4.149210006,-3.734588835,-3.625971929
901.1111111,-13.75028019,-4.488156706,-4.04097777,-4.540401458,-4.125582241,-3.720081621,-3.604775536
901.3333333,-13.80382893,-4.45279608,-3.980752003,-4.505374354,-4.158376914,-3.748529003,-3.625842215
901.5555556,-13.86026546,-4.489915057,-3.996952322,-4.545621416,-4.246996894,-3.821547269,-3.690930893
901.7777778,-13.9199861,-4.597551954,-4.087176067,-4.659559069,-4.385574689,-3.938948536,-3.799639963
902,-13.9842091,-4.773803707,-4.248484104,-4.845356577,-4.560725934,-4.096204447,-3.94681649
902.2222222,-14.05797123,-5.014746328,-4.475584606,-5.098646914,-4.749439065,-4.280395693,-4.11869499
902.4444444,-14.18639436,-5.310790915,-4.757511535,-5.408537363,-4.918135781,-4.465593947,-4.289090076
902.6666667,-14.08592346,-5.641230857,-5.072822216,-5.751784066,-5.02502862,-4.611571283,-4.41967459
902.8888889,-14.17859962,-5.968160185,-5.384740304,-6.086739665,-5.0302013,-4.672643342,-4.469923616
903.1111111,-14.25239495,-6.234566017,-5.640715165,-6.352700444,-4.917069013,-4.618878883,-4.416319836
903.3333333,-14.3194869,-6.375431069,-5.783433413,-6.483833946,-4.712072174,-4.456089811,-4.267290578
903.5555556,-14.38349738,-6.34590199,-5.775025196,-6.439578077,-4.472625786,-4.224172642,-4.058890726
903.7777778,-14.44531728,-6.150060371,-5.619907119,-6.231306467,-4.249966707,-3.974806506,-3.835506325
904,-14.50518384,-5.841839855,-5.364525414,-5.917961173,-4.070714243,-3.750094769,-3.633097008
904.2222222,-14.56315716,-5.496119472,-5.073644681,-5.574715716,-3.944489551,-3.575248744,-3.473805174
904.4444444,-14.61926682,-5.178189036,-4.805156676,-5.264374356,-3.87551286,-3.461811582,-3.368602883
904.6666667,-14.67356343,-4.931211142,-4.598948728,-5.02753778,-3.868343756,-3.413774974,-3.322150742
904.8888889,-14.72613571,-4.778820502,-4.47826082,-4.886420545,-3.929611847,-3.432566843,-3.336843896
905.1111111,-14.77711302,-4.73301879,-4.455936233,-4.85275497,-4.068518589,-3.520201719,-3.41547044
