Freq [MHz],"dB(S(1,1)) []","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []"
872.4444444,-14.04727761,-2.814532217,-3.645417429,-3.651454938,-3.190258742,-3.580833814,-3.733059592
872.6666667,-14.03746521,-2.849675471,-3.699220686,-3.70765982,-3.234044959,-3.62732611,-3.784274221
872.8888889,-14.02719664,-2.885163756,-3.75446432,-3.765571293,-3.279742287,-3.676325483,-3.83771689
873.1111111,-14.01651908,-2.921556108,-3.811303252,-3.825323646,-3.327205539,-3.727973312,-3.893509623
873.3333333,-14.00548502,-2.959658402,-3.869916974,-3.887055611,-3.376247462,-3.782452196,-3.951814555
873.5555556,-13.99415488,-3.000409715,-3.930501879,-3.950896705,-3.426634535,-3.839998623,-4.012849067
873.7777778,-13.98260092,-3.044602763,-3.993250962,-4.016941809,-3.47808267,-3.90091884,-4.076906183
874,-13.97091303,-3.092525762,-4.058312726,-4.085208531,-3.530253642,-3.965608342,-4.144381855
874.2222222,-13.95920723,-3.143757479,-4.12572072,-4.155572724,-3.582753134,-4.034574102,-4.215810203
874.4444444,-13.94763824,-3.197299131,-4.195291396,-4.227683507,-3.635131383,-4.108455237,-4.291905115
874.6666667,-13.93641745,-3.251961085,-4.266507673,-4.300874245,-3.68688733,-4.188029389,-4.373598609
874.8888889,-13.92583814,-3.306734648,-4.338440784,-4.374111654,-3.737477025,-4.274173423,-4.462045997
875.1111111,-13.91630715,-3.360965074,-4.409795258,-4.44604995,-3.786326595,-4.367709912,-4.558522499
875.3333333,-13.9083763,-3.414335722,-4.47914319,-4.515248468,-3.832849489,-4.46901176,-4.664053475
875.5555556,-13.90274648,-3.466765609,-4.545306206,-4.580534182,-3.87646689,-4.577191906,-4.778530218
875.7777778,-13.90017362,-3.518302987,-4.607705011,-4.641366475,-3.916629342,-4.688840192,-4.899163122
876,-13.90113741,-3.569048471,-4.666475873,-4.698001669,-3.952836985,-4.796936589,-5.018893217
876.2222222,-13.90513479,-3.619109625,-4.722307271,-4.751356431,-3.984655947,-4.891741896,-5.126906058
876.4444444,-13.90982472,-3.668578047,-4.776130583,-4.802662078,-4.011730321,-4.965199543,-5.213305611
876.6666667,-13.91110052,-3.717519629,-4.828840327,-4.8531056,-4.033795568,-5.01625369,-5.275220839
876.8888889,-13.90513081,-3.765971396,-4.881134043,-4.903599238,-4.050716523,-5.05128605,-5.317822944
877.1111111,-13.89089469,-3.813940939,-4.933465509,-4.954702582,-4.062616593,-5.079121468,-5.349490406
877.3333333,-13.8703363,-3.861406215,-4.986063138,-5.006645726,-4.070252745,-5.106210643,-5.376901811
877.5555556,-13.84640747,-3.908314491,-5.038968253,-5.059390462,-4.075851731,-5.135288351,-5.403441747
