"Freq [MHz]","dB(S(1,1)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
860,-14.1291070480563,-1.26361080918948,-1.22455770515157,-1.23721516124731,-1.24810127945033,-1.24051533418244,-1.28745027470329
860.222222222222,-14.1620814006873,-1.19208550412912,-1.14524715810386,-1.15334585837716,-1.18220414815313,-1.16424295648687,-1.20850799157195
860.444444444444,-14.1933939453673,-1.1281627471492,-1.07370676368535,-1.07818267067545,-1.12307360118765,-1.09580725128432,-1.13791709097903
860.666666666667,-14.2229613965792,-1.0713543619174,-1.00946476194862,-1.01114735291087,-1.07005208741914,-1.03452033057443,-1.07479427433248
860.888888888889,-14.250715770993,-1.02116617184732,-0.952038770576742,-0.951649746206333,-1.02255475005929,-0.979764552258426,-1.01839436640511
861.111111111111,-14.2766051545703,-0.977108351592859,-0.900947339873414,-0.8991025805793,-0.980061380397972,-0.930983884084159,-0.968083601919118
861.333333333333,-14.300594130032,-0.938703872361241,-0.855719192911285,-0.852933153563166,-0.942109294815616,-0.887676501153456,-0.923318364126403
861.555555555556,-14.3226638647802,-0.905495189504651,-0.815900378129601,-0.812592199903504,-0.908287042845295,-0.849388412260634,-0.88362816932205
861.777777777778,-14.3428118738975,-0.877049369791215,-0.781059599481805,-0.777560326045679,-0.878228859038485,-0.815707948482002,-0.848601963489305
862,-14.361051486683,-0.852961883373643,-0.750792001845062,-0.747352402993949,-0.851609776967994,-0.786260977497243,-0.817877012787121
862.222222222222,-14.3774110578464,-0.832859296655925,-0.724721683608362,-0.72152030310196,-0.828141329241854,-0.760706730974096,-0.791129836786205
862.444444444444,-14.3919329758104,-0.816401101925798,-0.702503190081002,-0.699654340172081,-0.807567762354248,-0.738734151378208,-0.768068761970365
862.666666666667,-14.4046725308671,-0.803280912338246,-0.683822215376446,-0.681383735844758,-0.789662699058973,-0.720058679830887,-0.748427771793236
862.888888888889,-14.415696716078,-0.793227240608545,-0.668395710228039,-0.666376394675149,-0.774226183196566,-0.704419418921335,-0.731961405661372
863.111111111111,-14.4250830456235,-0.786004069988916,-0.655971561024385,-0.654338229735964,-0.761082041954828,-0.691576614294272,-0.718440518182772
863.333333333333,-14.432918492045,-0.781411419551475,-0.64632797223302,-0.645012242657563,-0.750075497711126,-0.681309406847019,-0.707648756122753
863.555555555556,-14.439298671263,-0.779286104692039,-0.639272650116144,-0.638177527920029,-0.741070955098598,-0.673413813848083,-0.699379646925818
863.777777777778,-14.4443274529227,-0.779502899638906,-0.634641848728157,-0.633648340840901,-0.733949877896515,-0.667700902527222,-0.693434221738753
864,-14.4481172634044,-0.781976322050622,-0.632299296555504,-0.631273340528161,-0.728608654002712,-0.663995123925839,-0.689619119298675
