Freq [MHz],"dB(S(1,1)) []","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []"
872.4444444,-14.22638585,-2.591072244,-3.101889425,-3.364877233,-2.933584942,-3.397367197,-3.63452922
872.6666667,-14.21682262,-2.624890248,-3.147629412,-3.415091673,-2.971061403,-3.441120252,-3.683954561
872.8888889,-14.20678576,-2.658758288,-3.194759671,-3.466779466,-3.01009858,-3.486895707,-3.735234782
873.1111111,-14.19633168,-2.692897548,-3.243409846,-3.520056025,-3.05071651,-3.534848426,-3.788480867
873.3333333,-14.18552082,-2.727820763,-3.293728039,-3.575048905,-3.092902415,-3.585199339,-3.843855697
873.5555556,-14.17442073,-2.764401201,-3.345876376,-3.631891166,-3.136619207,-3.638255155,-3.901592069
873.7777778,-14.16311042,-2.803754805,-3.400018695,-3.690706767,-3.181807578,-3.694432053,-3.962015609
874,-14.15168704,-2.846815135,-3.456295033,-3.751583285,-3.228381578,-3.754281987,-4.025572743
874.2222222,-14.14027564,-2.893765951,-3.514776537,-3.814526598,-3.276217608,-3.818516682,-4.092861792
874.4444444,-14.12904373,-2.943823776,-3.575396468,-3.879394311,-3.325136544,-3.888017159,-4.164660231
874.6666667,-14.11822271,-2.995636411,-3.637862125,-3.945813134,-3.374878791,-3.963803375,-4.24193048
874.8888889,-14.10813841,-3.0479259,-3.70157293,-4.013103635,-3.42507293,-4.04691795,-4.325766814
875.1111111,-14.09925191,-3.099864066,-3.765597522,-4.080261167,-3.475201095,-4.138155612,-4.417216095
875.3333333,-14.09220471,-3.151083953,-3.828774667,-4.146055364,-3.524568891,-4.237571333,-4.516878014
875.5555556,-14.08784213,-3.20152161,-3.889961751,-4.209277977,-3.572294935,-4.343785166,-4.624217867
875.7777778,-14.08713721,-3.251257972,-3.948354254,-4.269075415,-3.617343092,-4.453338335,-4.736710215
876,-14.09084916,-3.300417573,-4.003714742,-4.32520698,-3.65862333,-4.560673405,-4.849333092
876.2222222,-14.09871324,-3.349118005,-4.056383765,-4.378080155,-3.695174588,-4.659311123,-4.95525287
876.4444444,-14.10832324,-3.397450022,-4.107087514,-4.428551906,-3.726406382,-4.744022263,-5.048026792
876.6666667,-14.11491931,-3.44547263,-4.156672633,-4.477625932,-3.752323063,-4.812705004,-5.124173454
876.8888889,-14.11358115,-3.4932142,-4.205895617,-4.526197582,-3.773621896,-4.866673124,-5.184193014
877.1111111,-14.10246538,-3.540675208,-4.255315977,-4.574918419,-3.791588154,-4.909399402,-5.231456173
877.3333333,-14.08343135,-3.587830684,-4.305274962,-4.624167742,-3.807808266,-4.944847021,-5.270198924
877.5555556,-14.05985091,-3.634631658,-4.35591882,-4.674082767,-3.82381907,-4.976337438,-5.304028142
877.7777778,-14.03454877,-3.68100539,-4.40723277,-4.724604117,-3.840831189,-5.006144695,-5.335350542
878,-14.0091943,-3.726854457,-4.459066642,-4.775511453,-3.859601861,-5.035556782,-5.36542335
878.2222222,-13.98454097,-3.772054986,-4.511144647,-4.826439656,-3.88044889,-5.065111833,-5.394633965
878.4444444,-13.96080951,-3.816454683,-4.563059057,-4.876876782,-3.903350018,-5.094842763,-5.422785396
878.6666667,-13.93796048,-3.859872095,-4.614254728,-4.926156193,-3.928071105,-5.1244756,-5.449318474
878.8888889,-13.91584413,-3.902099937,-4.664025072,-4.973475947,-3.95429004,-5.15358855,-5.473483618
879.1111111,-13.89427138,-3.942917811,-4.711567925,-5.018015839,-3.981709583,-5.181770759,-5.49451438
879.3333333,-13.87304248,-3.982123016,-4.756189377,-5.059259196,-4.010172251,-5.208847564,-5.511888398
879.5555556,-13.85195543,-4.019591037,-4.797744912,-5.097563671,-4.039804867,-5.235281228,-5.525809391
879.7777778,-13.83080631,-4.055374153,-4.837230834,-5.134690397,-4.07123122,-5.262911412,-5.538092266
880,-13.80938961,-4.089826261,-4.87701509,-5.173546362,-4.105890543,-5.296186461,-5.55355808
880.2222222,-13.78750858,-4.123694563,-4.920041666,-5.216769374,-4.146446894,-5.34361589,-5.581463018
880.4444444,-13.76501332,-4.15806481,-4.968283097,-5.265248318,-4.197060937,-5.417629922,-5.63491379
880.6666667,-13.74190285,-4.194068942,-5.021837482,-5.318006375,-4.262777,-5.528798216,-5.724938118
880.8888889,-13.71855103,-4.232437542,-5.079377855,-5.373216615,-4.346768345,-5.673752304,-5.850274184
881.1111111,-13.69609871,-4.273181275,-5.139168833,-5.429162072,-4.44554833,-5.830256626,-5.993892784
881.3333333,-13.67682283,-4.315633811,-5.199746671,-5.484616196,-4.546941851,-5.971987748,-6.133529292
881.5555556,-13.66367485,-4.358785039,-5.260106871,-5.538822606,-4.636293154,-6.085786862,-6.254500274
881.7777778,-13.65811054,-4.401638809,-5.319632757,-5.591350121,-4.705587213,-6.172364297,-6.352540963
882,-13.65793584,-4.443415075,-5.377965293,-5.64195947,-4.755391713,-6.238108151,-6.429600495
882.2222222,-13.65870004,-4.483590229,-5.434895846,-5.690513803,-4.790515823,-6.289345621,-6.489521617
882.4444444,-13.65710371,-4.521850565,-5.490296011,-5.736926489,-4.815935072,-6.33057997,-6.535871306
882.6666667,-13.65216405,-4.558024459,-5.544076543,-5.781133131,-4.835245399,-6.364578798,-6.571307972
882.8888889,-13.644285,-4.592024833,-5.596164981,-5.823077605,-4.850643847,-6.392886397,-6.597601377
883.1111111,-13.63424548,-4.623809583,-5.646494182,-5.862705729,-4.863338862,-6.416273372,-6.615829409
883.3333333,-13.62274254,-4.653357531,-5.694996947,-5.899962919,-4.873933005,-6.435042282,-6.626574257
883.5555556,-13.6102874,-4.680655144,-5.741603902,-5.934793842,-4.882683393,-6.449217816,-6.630072937
883.7777778,-13.59722735,-4.705689928,-5.786243083,-5.967143016,-4.889659345,-6.458661601,-6.626322164
884,-13.58379154,-4.728447669,-5.828840388,-5.996955806,-4.894832952,-6.463141345,-6.615148226
884.2222222,-13.56800171,-4.748321725,-5.867502457,-6.02239354,-4.908174255,-6.487574865,-6.624802664
884.4444444,-13.55028366,-4.766077255,-5.90339073,-6.044595245,-4.923520773,-6.519390875,-6.642536426
884.6666667,-13.53126163,-4.781966228,-5.937148915,-6.064216152,-4.936912914,-6.549148879,-6.657940942
884.8888889,-13.51087419,-4.795940909,-5.968689945,-6.081201208,-4.948327636,-6.576797834,-6.671004759
885.1111111,-13.48906478,-4.807957819,-5.997930853,-6.095502674,-4.957750358,-6.602295696,-6.681727433
885.3333333,-13.4657844,-4.817977998,-6.024793257,-6.107080496,-4.965175745,-6.625610253,-6.690119913
885.5555556,-13.44099487,-4.82596724,-6.049203791,-6.115902615,-4.970608561,-6.646719903,-6.696204817
885.7777778,-13.41467288,-4.831896294,-6.071094456,-6.121945204,-4.974064625,-6.66561438,-6.700016585
886,-13.38681498,-4.835741027,-6.090402879,-6.125192819,-4.975571892,-6.682295407,-6.7016015
886.2222222,-13.35744341,-4.837482541,-6.107072433,-6.125638474,-4.975171724,-6.696777247,-6.701017562
886.4444444,-13.32661301,-4.837107264,-6.121052223,-6.123283619,-4.972920387,-6.709087161,-6.698334206
886.6666667,-13.29441914,-4.834607002,-6.132296877,-6.118138025,-4.968890865,-6.719265716,-6.693631848
886.8888889,-13.26100648,-4.829978968,-6.140766154,-6.110219579,-4.963175079,-6.727366949,-6.687001239
887.1111111,-13.22657853,-4.823225819,-6.146424338,-6.099553982,-4.95588663,-6.733458323,-6.678542603
887.3333333,-13.19140726,-4.814355703,-6.149239453,-6.086174343,-4.947164205,-6.737620456,-6.668364538
887.5555556,-13.1558424,-4.803382405,-6.149182362,-6.07012069,-4.93717581,-6.739946523,-6.656582622
887.7777778,-13.12031915,-4.790325639,-6.146225904,-6.051439386,-4.926124014,-6.740541276,-6.643317676
888,-13.08536311,-4.775211657,-6.140344354,-6.03018247,-4.914252372,-6.739519506,-6.6286936
888.2222222,-13.05159068,-4.75807438,-6.131513629,-6.006406925,-4.901853147,-6.737003789,-6.612834668
888.4444444,-13.01970298,-4.738957451,-6.11971286,-5.980173923,-4.889276283,-6.733121209,-6.595862124
888.6666667,-12.99047137,-4.717917849,-6.104928048,-5.951548065,-4.876939219,-6.727998647,-6.577889873
888.8888889,-12.96471277,-4.695032141,-6.087158373,-5.920596698,-4.865336424,-6.721756064,-6.559018977
889.1111111,-12.94325392,-4.670407219,-6.066425251,-5.887389428,-4.855046123,-6.71449689,-6.539330572
889.3333333,-12.92688471,-4.644198552,-6.042783129,-5.851997979,-4.846729262,-6.706294344,-6.518876712
889.5555556,-12.91630267,-4.616640878,-6.016329564,-5.814496654,-4.841111665,-6.697171963,-6.497668503
889.7777778,-12.91205257,-4.588098625,-5.987210967,-5.774963733,-4.838934157,-6.687076097,-6.47566076
890,-12.91446679,-4.55914474,-5.955620474,-5.733484233,-4.840847608,-6.675837432,-6.452732336
890.2222222,-12.9236136,-4.530670733,-5.921786567,-5.690154506,-4.847223618,-6.663118257,-6.428661312
890.4444444,-12.93926028,-4.503998735,-5.885954637,-5.645089122,-4.857856537,-6.648342532,-6.403094647
890.6666667,-12.96085681,-4.480868651,-5.848366955,-5.598430249,-4.871568093,-6.630608477,-6.375512951
890.8888889,-12.98754336,-4.462986047,-5.809247358,-5.550359414,-4.885815354,-6.608590742,-6.345193396
891.1111111,-13.01818138,-4.450752377,-5.768795074,-5.501111188,-4.896540812,-6.580455616,-6.311178259
891.3333333,-13.05140497,-4.441596673,-5.727189012,-5.450988572,-4.898593375,-6.543842682,-6.272264107
891.5555556,-13.08568706,-4.430032057,-5.684601749,-5.400381333,-4.886892522,-6.496009528,-6.227037444
891.7777778,-13.11941362,-4.410830117,-5.641222687,-5.34979064,-4.858011554,-6.434272356,-6.173994448
892,-13.15096009,-4.382234541,-5.597292851,-5.29985853,-4.811359739,-6.356844531,-6.111787065
892.2222222,-13.1787654,-4.345790235,-5.553159048,-5.25135209,-4.749252668,-6.263984641,-6.039618384
892.4444444,-13.2014014,-4.304194939,-5.509358746,-5.204827604,-4.67592048,-6.158996618,-5.957746178
892.6666667,-13.21763685,-4.259797646,-5.466714132,-5.159148831,-4.596165263,-6.048327295,-5.86794265
892.8888889,-13.22649635,-4.214227833,-5.426099325,-5.109021525,-4.514363799,-5.940265819,-5.773655277
893.1111111,-13.22731419,-4.168564901,-5.385799589,-5.048997758,-4.434056833,-5.842670364,-5.679634738
893.3333333,-13.21978149,-4.123606233,-5.333520445,-4.983126987,-4.357986571,-5.760940652,-5.591023411
893.5555556,-13.20398254,-4.080073743,-5.261295886,-4.918346822,-4.288327466,-5.69723443,-5.512227735
893.7777778,-13.18041356,-4.038689078,-5.190576671,-4.856637012,-4.226897787,-5.65095683,-5.446058523
894,-13.1499746,-3.999996462,-5.128939191,-4.797360928,-4.175212792,-5.619851851,-5.393454788
894.2222222,-13.11392498,-3.963792116,-5.072021269,-4.739642384,-4.134308695,-5.601031046,-5.353760715
894.4444444,-13.07379512,-3.928441519,-5.016876265,-4.682890888,-4.104363209,-5.591639292,-5.325287161
894.6666667,-13.03125332,-3.891227094,-4.962310584,-4.626764745,-4.084290188,-5.589159977,-5.3058768
894.8888889,-12.98793834,-3.850197037,-4.907882977,-4.571076774,-4.071619657,-5.591479389,-5.293315935
